[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Trying stars query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT s.id, s.name, birthYear FROM movies, stars s, stars_in_movies sm WHERE movies.id = sm.movieId AND sm.starId = s.id AND movies.id = 'tt0451103';
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Ian Dudley to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Brent Katz to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Eric Milano to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Todd Zelin to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Marcia T. Mohiuddin to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Jon Stahl to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Sam Greenfield to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Louise Gallanda to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Adding star Jennifer Kalison to star array.
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Trying movies query:com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movies.id, title, director, year, backdrop_path, budget, overview, poster_path, revenue, rating, numVotes FROM movies JOIN ratings ON ratings.movieId = movies.id WHERE movies.id = 'tt0451103';
[2019/06/07 21:15:33][INFO][getMoviesFromDB]  Query succeeded to retrieve movie records.
[2019/06/07 21:15:33][INFO][buildModelFromList]  Creating model...
[2019/06/07 21:15:33][INFO][buildModelFromList]  Movies list is not empty...
[2019/06/07 21:15:33][INFO][buildModelFromList]  Adding student Love Lessons to array.
[2019/06/07 21:16:18][INFO][getSearchRequest]  EMAIL: null
[2019/06/07 21:16:18][INFO][getSearchRequest]  SESSIONID: null
[2019/06/07 21:16:18][INFO][getSearchRequest]  TRANSACTIONID: null
[2019/06/07 21:16:18][INFO][getSearchRequest]  Received request to returns only basic info about movie from the movies & ratings tables.
[2019/06/07 21:16:18][INFO][getSearchRequest]  title: A
[2019/06/07 21:16:18][INFO][getSearchRequest]  genre: 
[2019/06/07 21:16:18][INFO][getSearchRequest]  year: 0
[2019/06/07 21:16:18][INFO][getSearchRequest]  director: 
[2019/06/07 21:16:18][INFO][getSearchRequest]  hidden: false
[2019/06/07 21:16:18][INFO][getSearchRequest]  offset: 0
[2019/06/07 21:16:18][INFO][getSearchRequest]  limit: 0
